Name,Type,Level,Tonnage,Power Drain,Equip Slots,Damage Regular,Damage Heat,Damage Stability,Total Damage Regular,Total Damage Heat,Total Damage Stability,Number of Shots,Range Min,Range Optimal,Range Max,Heat Gen,Critical Chance,Cost,Accuracy,Projectiles per Shot,Attack Recoil,Refire Modifier,Indirect Fire,Ammo Category,Range Tag,Weapon Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Manf. Code,Weapon Model Name
Reaper AC B-Med 1x T2,2,1.73,0.0625,2 0 1.00406,1,91,2,26,91,2,26,1,0,13,313,19,1.0250,19813,-0.88,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,,WEAKEN_3x3`1.22483,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC B-Med 1x T3,3,2.15,0.0625,6 1 1.01149,1,108,3,39,108,3,39,1,0,15,375,26,1.1500,46880,-1.25,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,,WEAKEN_3x3`1.26515,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC B-Med 1x T4,4,2.58,0.0625,14 2 1.02111,1,124,4,55,124,4,55,1,0,18,438,33,1.2750,104608,-1.63,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,,WEAKEN_3x3`1.30305,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC B-Med 1x T5,5,3,0.0625,24 4 1.03250,1,140,5,73,140,5,73,1,0,20,500,40,1.4000,200000,-2.00,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,,WEAKEN_3x3`1.33887,Ballistic,WS,Reaper Medium Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC C-Hvy 1x T1,1,3.15,0.0625,0 0 1.00000,1,100,3,55,100,3,55,1,0,10,250,18,1.6500,22500,-1.00,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,,WEAKEN_4x3`1.38383,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC C-Hvy 1x T2,2,3.36,0.0625,2 0 1.00563,1,116,5,69,116,5,69,1,0,13,313,29,1.8625,31797,-1.38,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,,WEAKEN_4x3`1.42604,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC C-Hvy 1x T3,3,3.58,0.0625,9 2 1.01591,1,133,8,85,133,8,85,1,0,15,375,39,2.0750,75091,-1.75,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,,WEAKEN_4x3`1.46590,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC C-Hvy 1x T4,4,3.79,0.0625,20 3 1.02923,1,149,10,102,149,10,102,1,0,18,438,50,2.2875,167424,-2.13,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,,WEAKEN_4x3`1.50369,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC C-Hvy 1x T5,5,4,0.0625,36 6 1.04500,1,165,12,120,165,12,120,1,0,20,500,60,2.5000,320000,-2.50,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,,WEAKEN_4x3`1.53968,Ballistic,WS,Reaper Heavy Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC D-Snpr 1x T1,1,0,0.0625,0 0 1.00000,1,15,0,1,30,0,2,2,225,450,900,10,0.6500,16000,-1.00,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,2 Shot Burst,WEAKEN_3x6`1.00816,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC D-Snpr 1x T2,2,0.66,0.0625,1 0 1.00313,1,18,1,2,36,2,4,2,269,538,1075,15,0.9875,21906,-1.25,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,2 Shot Burst,WEAKEN_3x6`1.08148,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC D-Snpr 1x T3,3,1.33,0.0625,5 1 1.00884,1,20,3,4,40,6,8,2,313,625,1250,20,1.3250,49411,-1.50,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,2 Shot Burst,WEAKEN_3x6`1.13607,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC D-Snpr 1x T4,4,1.99,0.0625,11 2 1.01624,1,23,4,8,46,8,16,2,357,713,1425,25,1.6625,108069,-1.75,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,2 Shot Burst,WEAKEN_3x6`1.18003,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC D-Snpr 1x T5,5,2.65,0.0625,20 3 1.02500,1,25,5,11,50,10,22,2,400,800,1600,30,2.0000,205000,-2.00,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,2 Shot Burst,WEAKEN_3x6`1.21707,Ballistic,WS,Reaper Sniper Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC E-Lgt 3x T1,1,0,0.1250,0 0 1.00000,2,60,0,3,180,0,9,3,0,10,250,15,0.5000,40000,0.00,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,3 Cannons,WEAKEN_2x3`1.07722,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC E-Lgt 3x T2,2,0.31,0.1250,2 0 1.00687,2,71,0,6,213,0,18,3,0,13,313,26,0.5750,58280,-0.38,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,3 Cannons,WEAKEN_2x3`1.10179,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC E-Lgt 3x T3,3,0.63,0.1250,9 2 1.01944,2,83,0,10,249,0,30,3,0,15,375,38,0.6500,143415,-0.75,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,3 Cannons,WEAKEN_2x3`1.12531,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC E-Lgt 3x T4,4,0.94,0.1250,20 3 1.03571,2,94,0,15,282,0,45,3,0,18,438,49,0.7250,324975,-1.13,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,3 Cannons,WEAKEN_2x3`1.14789,Ballistic,WS,Reaper Light Auto Cannon
Reaper AC E-Lgt 3x T5,5,1.25,0.1250,36 6 1.05498,2,105,0,22,315,0,66,3,0,20,500,60,0.8000,625000,-1.50,1,0,0,FALSE,ReaperLight,long,Ballistic,AC,AC5,AC5,AC5_Ultra,Weakens Target,3 Cannons,WEAKEN_2x3`1.16961,Ballistic,WS,Reaper Light Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC F-Med 3x T1,1,1.3,0.1250,0 0 1.00000,2,75,1,16,225,3,48,3,0,10,250,36,0.9000,70000,-0.50,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,3 Cannons,WEAKEN_3x3`1.18167,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC F-Med 3x T2,2,1.73,0.1250,5 1 1.01259,2,91,2,26,273,6,78,3,0,13,313,57,1.0250,99065,-0.88,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,3 Cannons,WEAKEN_3x3`1.22483,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC F-Med 3x T3,3,2.15,0.1250,18 3 1.03560,2,108,3,39,324,9,117,3,0,15,375,78,1.1500,234400,-1.25,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,3 Cannons,WEAKEN_3x3`1.26515,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC F-Med 3x T4,4,2.58,0.1250,41 7 1.06541,2,124,4,55,372,12,165,3,0,18,438,99,1.2750,523040,-1.63,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,3 Cannons,WEAKEN_3x3`1.30305,Ballistic,WS,Reaper Medium Auto Cannon
Reaper AC F-Med 3x T5,5,3,0.1250,72 12 1.10070,2,140,5,73,420,15,219,3,0,20,500,120,1.4000,1000000,-2.00,1,0,0,FALSE,ReaperMedium,medium,Ballistic,AC,AC10,AC10,AC10_Ultra,Weakens Target,3 Cannons,WEAKEN_3x3`1.33887,Ballistic,WS,Reaper Medium Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC G-Hvy 3x T1,1,3.15,0.1250,0 0 1.00000,2,100,3,55,300,9,165,3,0,10,250,54,1.6500,112500,-1.00,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,3 Cannons,WEAKEN_4x3`1.38383,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC G-Hvy 3x T2,2,3.36,0.1250,7 1 1.01765,2,116,5,69,348,15,207,3,0,13,313,86,1.8625,158985,-1.38,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,3 Cannons,WEAKEN_4x3`1.42604,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC G-Hvy 3x T3,3,3.58,0.1250,27 5 1.04991,2,133,8,85,399,24,255,3,0,15,375,117,2.0750,375455,-1.75,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,3 Cannons,WEAKEN_4x3`1.46590,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC G-Hvy 3x T4,4,3.79,0.1250,61 10 1.09169,2,149,10,102,447,30,306,3,0,18,438,149,2.2875,837120,-2.13,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,3 Cannons,WEAKEN_4x3`1.50369,Ballistic,WS,Reaper Heavy Auto Cannon
Reaper AC G-Hvy 3x T5,5,4,0.1250,108 18 1.14117,2,165,12,120,495,36,360,3,0,20,500,180,2.5000,1600000,-2.50,1,0,0,FALSE,ReaperHeavy,short,Ballistic,AC,AC20,AC20,AC20_Ultra,Weakens Target,3 Cannons,WEAKEN_4x3`1.53968,Ballistic,WS,Reaper Heavy Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper AC H-Snpr 3x T1,1,0,0.1250,0 0 1.00000,2,15,0,1,90,0,6,6,225,450,900,30,0.6500,80000,-1.00,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,3 Cannons,WEAKEN_3x6`1.00816,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC H-Snpr 3x T2,2,0.66,0.1250,4 1 1.00961,2,18,1,2,108,6,12,6,269,538,1075,45,0.9875,109530,-1.25,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,3 Cannons,WEAKEN_3x6`1.08148,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC H-Snpr 3x T3,3,1.33,0.1250,15 2 1.02718,2,20,3,4,120,18,24,6,313,625,1250,60,1.3250,247055,-1.50,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,3 Cannons,WEAKEN_3x6`1.13607,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC H-Snpr 3x T4,4,1.99,0.1250,34 5 1.04994,2,23,4,8,138,24,48,6,357,713,1425,75,1.6625,540345,-1.75,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,3 Cannons,WEAKEN_3x6`1.18003,Ballistic,WS,Reaper Sniper Auto Cannon
Reaper AC H-Snpr 3x T5,5,2.65,0.1250,60 9 1.07689,2,25,5,11,150,30,66,6,400,800,1600,90,2.0000,1025000,-2.00,1,0,0,FALSE,ReaperSniper,extreme,Ballistic,AC,AC2,AC2,AC2_Ultra,Weakens Target,3 Cannons,WEAKEN_3x6`1.21707,Ballistic,WS,Reaper Sniper Auto Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rocket Launcher, Deathfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Level,Tons,Drain,Slots,Damage / Shot,per,Attack,Total Damage,,,Shots,Range,,,Total Heat,Critical Mult.,Cost,Acc.,Pjct. / Shot,Recoil,Refire,Indirect Fire,Ammo Category,Range Tag,Category,Weapon Type,Weapon Sub Type,Prefab ID,Weapon Effect ID,GUI Feature A,GUI Feature B,Specials Code,Icon Code,Maker Code,Weapon Model Name
,,,,,,Regular,Heat,Stability,Regular,Heat,Stability,,Min,Optimal,Max,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L01,1,1,0.0625,0 0 1.00000,1,10,0,0,10,0,0,1,30,90,400,2,0.2000,3000,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L01,2,1,0.0625,0 0 1.00677,1,12,0,0,12,0,0,1,30,90,425,5,0.4500,6311,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L01,3,1,0.0625,1 0 1.01696,1,13,0,0,13,0,0,1,30,90,450,13,0.7000,13213,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L01,4,1,0.0625,4 1 1.02903,1,15,0,0,15,0,0,1,30,90,475,23,0.9500,22737,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L01,5,1,0.0625,9 4 1.04250,1,17,0,0,17,0,0,1,30,90,500,35,1.2000,34500,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L02,1,2,0.0625,0 0 1.00133,1,13,0,0,13,0,0,1,30,90,400,6,0.2000,71028,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L02,2,2,0.0625,0 0 1.00842,1,15,0,0,15,0,0,1,30,90,425,11,0.4500,93940,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L02,3,2,0.0625,2 1 1.01910,1,17,0,0,17,0,0,1,30,90,450,21,0.7000,141698,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L02,4,2,0.0625,5 2 1.03173,1,19,0,0,19,0,0,1,30,90,475,34,0.9500,207608,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L02,5,2,0.0625,12 5 1.04583,1,21,0,0,21,0,0,1,30,90,500,51,1.2000,289006,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L03,1,3,0.0625,0 0 1.00267,1,18,0,0,18,0,0,1,30,90,400,10,0.2000,139056,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L03,2,3,0.0625,1 0 1.01008,1,21,0,0,21,0,0,1,30,90,425,16,0.4500,181569,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L03,3,3,0.0625,3 1 1.02123,1,24,0,0,24,0,0,1,30,90,450,29,0.7000,270184,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L03,4,3,0.0625,7 3 1.03443,1,26,0,0,26,0,0,1,30,90,475,46,0.9500,392478,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L03,5,3,0.0625,16 6 1.04917,1,29,0,0,29,0,0,1,30,90,500,67,1.2000,543511,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L04,1,4,0.0625,1 0 1.00400,1,13,0,0,26,0,0,2,30,90,400,15,0.2000,207083,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T2 L04,2,4,0.0625,1 1 1.01173,1,15,0,0,30,0,0,2,30,90,425,22,0.4500,269198,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.83125 WEAKEN_DF`0.08750 HEAT_DF`3,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T3 L04,3,4,0.0625,4 2 1.02336,1,17,0,0,34,0,0,2,30,90,450,37,0.7000,398670,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.76250 WEAKEN_DF`0.12500 HEAT_DF`4,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T4 L04,4,4,0.0625,9 4 1.03713,1,19,0,0,38,0,0,2,30,90,475,58,0.9500,577349,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.69375 WEAKEN_DF`0.16250 HEAT_DF`5,Missile,WS,Death Fire Rocket Launcher
Deathfire RL T5 L04,5,4,0.0625,19 8 1.05250,1,21,0,0,42,0,0,2,30,90,500,83,1.2000,798017,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.62500 WEAKEN_DF`0.20000 HEAT_DF`6,Missile,WS,Death Fire Rocket Launcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfire RL T1 L05,1,5,0.1250,1 1 1.00533,2,17,0,0,34,0,0,2,30,90,400,19,0.2000,275111,0,1,0,0,TRUE,DFR,long,Missile,LRM,LRM20,lrm20,LRM20,Stuns Weakens,,STUN_DF`0.90000 WEAKEN_DF`0.05000 HEAT_DF`2,Missile,WS,Death Fire Rocket Launcher
